,fname1,fname2,distance,runtime
192,K00254_genesis.gr,K01772_sankoff.gr,10,0.0025167465209960938
193,K00254_genesis.gr,K00573_fitch.gr,4,0.002261638641357422
194,K00254_genesis.gr,K01589_sankoff.gr,7,0.0017981529235839844
195,K00254_genesis.gr,K01419_sankoff.gr,6,0.001569986343383789
196,K00254_genesis.gr,K06886_sankoff.gr,4,0.0013959407806396484
197,K00254_genesis.gr,K01493_genesis.gr,4,0.001554250717163086
198,K00254_genesis.gr,K03074_fitch.gr,11,0.0016980171203613281
199,K00254_genesis.gr,K21636_genesis.gr,6,0.0025238990783691406
200,K00254_genesis.gr,K03179_fitch.gr,7,0.0019497871398925781
201,K00254_genesis.gr,K08303_genesis.gr,6,0.001409769058227539
202,K00254_genesis.gr,K00228_fitch.gr,4,0.0013926029205322266
203,K00254_genesis.gr,K07133_genesis.gr,11,0.0016236305236816406
204,K00254_genesis.gr,K01903_fitch.gr,11,0.001676797866821289
205,K00254_genesis.gr,K02257_sankoff.gr,4,0.002771139144897461
206,K00254_genesis.gr,K03635_sankoff.gr,4,0.002006053924560547
207,K00254_genesis.gr,K00627_fitch.gr,8,0.0014374256134033203
208,K00254_genesis.gr,K01493_fitch.gr,10,0.0015828609466552734
209,K00254_genesis.gr,K02823_fitch.gr,13,0.0021104812622070312
210,K00254_genesis.gr,K07152_genesis.gr,6,0.002411365509033203
211,K00254_genesis.gr,K03636_sankoff.gr,4,0.0022292137145996094
212,K00254_genesis.gr,K02259_genesis.gr,6,0.001699686050415039
213,K00254_genesis.gr,K00161_genesis.gr,7,0.0014224052429199219
214,K00254_genesis.gr,K01011_sankoff.gr,5,0.0014774799346923828
215,K00254_genesis.gr,K01724_fitch.gr,7,0.0029134750366210938
216,K00254_genesis.gr,K03667_fitch.gr,6,0.002588510513305664
217,K00254_genesis.gr,K00135_genesis.gr,7,0.002048969268798828
218,K00254_genesis.gr,K00573_sankoff.gr,4,0.0014801025390625
219,K00254_genesis.gr,K01903_genesis.gr,8,0.0014576911926269531
220,K00254_genesis.gr,K03737_fitch.gr,14,0.0015594959259033203
221,K00254_genesis.gr,K13628_sankoff.gr,5,0.0025811195373535156
222,K00254_genesis.gr,K06886_genesis.gr,6,0.0024275779724121094
223,K00254_genesis.gr,K04068_genesis.gr,6,0.0018377304077148438
224,K00254_genesis.gr,K02275_fitch.gr,7,0.001443624496459961
225,K00254_genesis.gr,K01638_fitch.gr,8,0.0016274452209472656
226,K00254_genesis.gr,K07152_sankoff.gr,6,0.002461671829223633
227,K00254_genesis.gr,K01724_sankoff.gr,7,0.0025446414947509766
228,K00254_genesis.gr,K01493_sankoff.gr,5,0.0021009445190429688
229,K00254_genesis.gr,K00161_sankoff.gr,7,0.0014984607696533203
230,K00254_genesis.gr,K17828_genesis.gr,5,0.0014774799346923828
